surveywave,id_state,id_school,id_teacher,treatment,strata,weight_school,fpc_school,ht01,ht04,ht09,ht10,ht11,ht12,ht13_01,ht13_02,ht13_03,ht13_04,ht13_05,ht13_06,ht13_07,ht13_08,ht13_09,ht13_10,ht13_11,ht13_othqual,ht13_oth,ht13_dkr,ht14,ht15,ht16,ht17_01,ht17_02,ht17_03,ht17_04,ht17_05,ht17_06,ht17_07,ht17_08,ht17_09,ht17_10,ht17_11,ht17_othrea,ht17_oth,ht18,ht19_01,ht19_02,ht19_03,ht19_04,ht19_05,ht19_06,ht19_07,ht19_08,ht19_09,ht19_10,ht19_11,ht19_othrea,ht19_oth,ht20,ht21a_01_month,ht21a_02_month,ht21a_03_month,ht21a_04_month,ht21a_05_month,ht21a_06_month,ht21a_07_month,ht21a_08_month,ht21a_09_month,ht21a_10_month,ht21a_01_year,ht21a_02_year,ht21a_03_year,ht21a_04_year,ht21a_05_year,ht21a_06_year,ht21a_07_year,ht21a_08_year,ht21a_09_year,ht21a_10_year,ht21b_01_01,ht21b_01_02,ht21b_01_03,ht21b_01_04,ht21b_01_05,ht21b_01_06,ht21b_01_07,ht21b_01_othtop,ht21b_01_oth,ht21b_01_dkr,ht21b_02_01,ht21b_02_02,ht21b_02_03,ht21b_02_04,ht21b_02_05,ht21b_02_06,ht21b_02_07,ht21b_02_othtop,ht21b_02_oth,ht21b_02_dkr,ht21b_03_01,ht21b_03_02,ht21b_03_03,ht21b_03_04,ht21b_03_05,ht21b_03_06,ht21b_03_07,ht21b_03_othtop,ht21b_03_oth,ht21b_03_dkr,ht21b_04_01,ht21b_04_02,ht21b_04_03,ht21b_04_04,ht21b_04_05,ht21b_04_06,ht21b_04_07,ht21b_04_othtop,ht21b_04_oth,ht21b_04_dkr,ht21b_05_01,ht21b_05_02,ht21b_05_03,ht21b_05_04,ht21b_05_05,ht21b_05_06,ht21b_05_07,ht21b_05_othtop,ht21b_05_oth,ht21b_05_dkr,ht21b_06_01,ht21b_06_02,ht21b_06_03,ht21b_06_04,ht21b_06_05,ht21b_06_06,ht21b_06_07,ht21b_06_othtop,ht21b_06_oth,ht21b_06_dkr,ht21b_07_01,ht21b_07_02,ht21b_07_03,ht21b_07_04,ht21b_07_05,ht21b_07_06,ht21b_07_07,ht21b_07_othtop,ht21b_07_oth,ht21b_07_dkr,ht21b_08_01,ht21b_08_02,ht21b_08_03,ht21b_08_04,ht21b_08_05,ht21b_08_06,ht21b_08_07,ht21b_08_othtop,ht21b_08_oth,ht21b_08_dkr,ht21b_09_01,ht21b_09_02,ht21b_09_03,ht21b_09_04,ht21b_09_05,ht21b_09_06,ht21b_09_07,ht21b_09_othtop,ht21b_09_oth,ht21b_09_dkr,ht21b_10_01,ht21b_10_02,ht21b_10_03,ht21b_10_04,ht21b_10_05,ht21b_10_06,ht21b_10_07,ht21b_10_othtop,ht21b_10_oth,ht21b_10_dkr,ht21c_01_01,ht21c_01_02,ht21c_01_03,ht21c_01_04,ht21c_01_05,ht21c_01_06,ht21c_01_07,ht21c_01_08,ht21c_01_09,ht21c_01_10,ht21c_01_othorg,ht21c_01_oth,ht21c_01_dkr,ht21c_02_01,ht21c_02_02,ht21c_02_03,ht21c_02_04,ht21c_02_05,ht21c_02_06,ht21c_02_07,ht21c_02_08,ht21c_02_09,ht21c_02_10,ht21c_02_othorg,ht21c_02_oth,ht21c_02_dkr,ht21c_03_01,ht21c_03_02,ht21c_03_03,ht21c_03_04,ht21c_03_05,ht21c_03_06,ht21c_03_07,ht21c_03_08,ht21c_03_09,ht21c_03_10,ht21c_03_othorg,ht21c_03_oth,ht21c_03_dkr,ht21c_04_01,ht21c_04_02,ht21c_04_03,ht21c_04_04,ht21c_04_05,ht21c_04_06,ht21c_04_07,ht21c_04_08,ht21c_04_09,ht21c_04_10,ht21c_04_othorg,ht21c_04_oth,ht21c_04_dkr,ht21c_05_01,ht21c_05_02,ht21c_05_03,ht21c_05_04,ht21c_05_05,ht21c_05_06,ht21c_05_07,ht21c_05_08,ht21c_05_09,ht21c_05_10,ht21c_05_othorg,ht21c_05_oth,ht21c_05_dkr,ht21c_06_01,ht21c_06_02,ht21c_06_03,ht21c_06_04,ht21c_06_05,ht21c_06_06,ht21c_06_07,ht21c_06_08,ht21c_06_09,ht21c_06_10,ht21c_06_othorg,ht21c_06_oth,ht21c_06_dkr,ht21c_07_01,ht21c_07_02,ht21c_07_03,ht21c_07_04,ht21c_07_05,ht21c_07_06,ht21c_07_07,ht21c_07_08,ht21c_07_09,ht21c_07_10,ht21c_07_othorg,ht21c_07_oth,ht21c_07_dkr,ht21c_08_01,ht21c_08_02,ht21c_08_03,ht21c_08_04,ht21c_08_05,ht21c_08_06,ht21c_08_07,ht21c_08_08,ht21c_08_09,ht21c_08_10,ht21c_08_othorg,ht21c_08_oth,ht21c_08_dkr,ht21c_09_01,ht21c_09_02,ht21c_09_03,ht21c_09_04,ht21c_09_05,ht21c_09_06,ht21c_09_07,ht21c_09_08,ht21c_09_09,ht21c_09_10,ht21c_09_othorg,ht21c_09_oth,ht21c_09_dkr,ht21c_10_01,ht21c_10_02,ht21c_10_03,ht21c_10_04,ht21c_10_05,ht21c_10_06,ht21c_10_07,ht21c_10_08,ht21c_10_09,ht21c_10_10,ht21c_10_othorg,ht21c_10_oth,ht21c_10_dkr,ht21d_01,ht21d_01_oth,ht21d_02,ht21d_02_oth,ht21d_03,ht21d_03_oth,ht21d_04,ht21d_04_oth,ht21d_05,ht21d_05_oth,ht21d_06,ht21d_06_oth,ht21d_07,ht21d_07_oth,ht21d_08,ht21d_08_oth,ht21d_09,ht21d_09_oth,ht21d_10,ht21d_10_oth,ht21e_01,ht21e_02,ht21e_03,ht21e_04,ht21e_05,ht21e_06,ht21e_07,ht21e_08,ht21e_09,ht21e_10,ht22_01,ht22_02,ht22_03,ht22_04,ht22_05,ht22_06,ht22_07,ht22_08,ht22_09,ht22_10,ht22_11,ht22_12,ht22_13,ht22_othiss,ht22_oth,ht23,ht24_01,ht24_02,ht24_03,ht24_04,ht24_05,ht24_06,ht24_07,ht24_08,ht24_othact,ht24_oth,ht24_dkr,ht25,ht26,ht27_01,ht27_02,ht27_03,ht27_04,ht27_05,ht27_06,ht27_07,ht27_08,ht27_09,ht27_10,ht27_othtop,ht27_oth,ht27_dkr,ht28_01,ht28_02,ht28_03,ht28_04,ht28_05,ht28_06,ht28_07,ht28_08,ht28_09,ht28_10,ht28_11,ht28_12,ht28_13,ht28_14,ht28_15,ht28_16,ht28_othiss,ht28_oth,ht29,ht30_01,ht30_02,ht30_03,ht30_04,ht30_05,ht30_06,ht30_07,ht30_08,ht30_othact,ht30_oth,ht31,ht32,ht33,ht34_01_date,ht34_01_num,ht34_02_date,ht34_02_num,ht34_03_date,ht34_03_num,ht34_04_date,ht34_04_num,ht34_05_date,ht34_05_num,ht35,ht36,ht37_01,ht37_02,ht37_03,ht37_04,ht37_05,ht37_06,ht38_01,ht38_02,ht38_03,ht38_04,ht38_05,ht38_06,ht38_07,ht38_08,ht38_09,ht38_10,ht38_11,ht38_12,ht38_othsub,ht38_oth,ht39,ht40,ht41,ht42,ht43,ht44,ht45,ht46,ht47,ht48,ht49,ht50,ht51,ht52,ht53,ht54,ht55,ht56,ht57,ht58,ht59,ht60,ht61,ht62,ht63,ht64,ht65_01,ht65_02,ht65_03,ht65_04,ht65_05,ht65_06,ht65_07,ht65_othorg,ht65_oth,ht66,ht67,ht68_01,ht68_02,ht68_03,ht68_04,ht68_05,ht68_06,ht68_othrep,ht68_oth,ht69,ht70,ht71,ht72,ht73_01,ht73_02,ht73_03,ht73_04,ht73_05,ht73_06,ht73_07,ht73_08,ht73_09,ht73_10,ht73_11,ht73_12,ht73_13,ht73_othuse,ht73_oth,n_ptr,n_tchabsenteeism_sr
Round 1 Baseline,Jigawa,281,Head Teacher,Treatment,1121,3,.3333333333333333,Head Teacher,Male,39,12,2010,2010,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,Don't know,Always on time,1,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,July,October,,,,,,,,,2013,2013,,,,,,,,,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Meet with traditional rulers,No,Yes,More than once a month,No,Yes,No,No,No,Yes,No,No,No,Yes,No,,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,,Yes,No,No,No,Yes,No,No,No,No,No,,4,186,Yes,20141027,1,20141023,1,20141022,0,20141021,0,20141020,0,Two or three times a month,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Yes,Yes,No,No,Yes,No,No,No,Yes,Local Government council,No supply,Yes,Yes,Yes,Yes,No,Yes,No,No,,Yes,The last term of the previous school year,Yes,"Yes, both audio and video",Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,46.5,10
Round 1 Baseline,Jigawa,285,Head Teacher,Treatment,1121,3,.3333333333333333,Head Teacher,Male,54,14,2009,2009,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,39500,Always on time,4,No,No,No,No,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,September,July,,,,,,,,,2012,2014,,,,,,,,,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University or college staff,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,lack of enough classes for to,Yes,Yes,Yes,No,No,No,No,No,No,No,,No,No,Once a month,No,Yes,No,No,No,No,Yes,No,No,Yes,No,,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,,Yes,Yes,No,Yes,Yes,No,No,No,No,No,,8,350,Yes,20141015,1,20141014,1,20141013,1,20141012,0,20141011,0,Two or three times a month,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,Agree,Strongly agree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Disagree,Yes,Yes,No,No,No,No,Yes,No,No,,No supply,Yes,No,Yes,Yes,No,No,Yes,No,,Yes,The last term of the previous school year,Yes,"Yes, both audio and video",Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,,43.75,7.5
Round 1 Baseline,Jigawa,287,Head Teacher,Treatment,1121,3,.3333333333333333,Head Teacher,Male,37,12,2012,2012,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Advance Diploma in Education,No,Refusal,Always on time,0,,,,,,,,,,,,,,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,,Yes,May,January,,,,,,,,,2014,2014,,,,,,,,,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,Yes,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LGEA,,LGEA,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,No,No,No,No,,No,Yes,Less than once a month,Yes,No,No,No,No,Yes,No,No,No,No,No,,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,No,Yes,Yes,Yes,No,No,No,No,No,,4,222,Yes,20141027,0,20141023,0,20141022,2,20141021,2,20141020,1,At least once a year but no more than once a month,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Yes,Yes,No,No,No,Yes,No,No,No,,No supply,Yes,No,No,No,No,No,No,Yes,Completion of 1 block construc,Yes,The last term of the previous school year,Yes,"Yes, both audio and video",Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,55.5,25
Round 1 Baseline,Jigawa,288,Head Teacher,Treatment,1121,3,.3333333333333333,Assistant Head Teacher,Male,45,27,,,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,67000,Always on time,1,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,had high blood pressure,Yes,April,,,,,,,,,,2014,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LGEA,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,,Yes,Yes,Yes,No,No,Yes,No,No,No,No,,No,Yes,More than once a week,Yes,No,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,,Yes,Yes,No,No,No,Yes,No,No,No,No,,5,287,Yes,20141027,2,20141024,1,20141023,1,20141022,1,20141021,1,Two or three times a month,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,Strongly agree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,No,,,,,,,,,,No supply,Yes,No,Yes,Yes,No,No,Yes,Yes,water source and accommodation,Yes,The last term of the previous school year,Yes,"Yes, both audio and video",Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,,57.40000152587891,24
Round 1 Baseline,Jigawa,293,Head Teacher,Control,1130,2.75,.3636363636363637,Head Teacher,Male,51,30,2013,1990,No,No,No,Yes,No,No,No,No,No,No,No,No,,No,85000,Usually/Mostly on time,0,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,June,,,,,,,,,,2014,,,,,,,,,,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,Yes,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,No,No,No,Yes,guidance and couselling,No,Yes,Less than once a month,No,No,No,Yes,No,No,Yes,No,No,Yes,No,,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,No,Yes,No,Yes,No,Yes,No,No,No,,28,1150,Yes,20141028,3,20141027,3,20141023,2,20141022,2,20141021,3,More than three times a month,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,No,Yes,No,No,,No supply,Yes,No,No,Yes,No,No,Yes,Yes,additional borehole,Yes,The last term of the previous school year,Yes,"Yes, both audio and video",Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,41.07143020629883,9.285714149475098
Round 1 Baseline,Jigawa,296,Head Teacher,Control,1130,2.75,.3636363636363637,Head Teacher,Male,41,13,2014,2004,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,Don't know,Always on time,0,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,April,July,September,,,,,,,,2014,2013,2012,,,,,,,,Yes,Yes,No,No,No,No,No,Yes,Continuous assesment,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,Yes,Science and Technology,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,Yes,TDP and NGO,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,2,2,2,,,,,,,,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,Yes,Yes,No,No,No,No,No,No,No,No,,No,Yes,More than once a month,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,On the voluntary teachers,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,Yes,No,No,No,Yes,No,No,No,No,Yes,make phone calls and sometimes,9,1095,Yes,20141115,1,20141114,2,20141113,1,20141112,1,20141111,1,Two or three times a month,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Yes,No,No,No,Yes,No,No,No,No,,No supply,No,,,,,,,,,Yes,This term or during the preceding vacation,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,121.6666641235352,13.3333330154419
Round 1 Baseline,Jigawa,297,Head Teacher,Control,1130,2.75,.3636363636363637,Head Teacher,Male,45,18,2012,2012,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,57000,Always on time,0,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,November,,,,,,,,,,2012,,,,,,,,,,No,No,Yes,No,Yes,Yes,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,Yes,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,,Yes,Yes,No,Yes,Yes,No,No,No,No,No,,No,No,More than once a month,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,Yes,Yes,No,No,Yes,No,No,No,No,No,,6,307,Yes,20141028,1,20141027,1,20141024,3,20141023,0,20141022,0,More than three times a month,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,No,No,No,No,,No supply,Yes,No,Yes,No,No,No,No,Yes,bats problems,Yes,The last term of the previous school year,Yes,"Yes, both audio and video",Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,51.16666793823242,16.66666603088379
Round 1 Baseline,Jigawa,300,Head Teacher,Control,1130,2.75,.3636363636363637,Head Teacher,Male,48,14,2008,2006,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,Don't know,Always on time,0,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,July,July,,,,,,,,,2013,2014,,,,,,,,,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,,No,Yes,More than once a day,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,,Yes,No,No,No,Yes,Yes,No,No,No,No,,6,297,Yes,20141028,1,20141027,0,20141024,1,20141023,1,20141022,0,Two or three times a month,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,,Strongly agree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,No,,,,,,,,,,No supply,Yes,No,Yes,No,No,No,No,Yes,needs pupils sits.,Yes,This term or during the preceding vacation,Yes,"Yes, both audio and video",Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,,49.5,10
Round 1 Baseline,Jigawa,303,Head Teacher,Treatment,1131,3,.3333333333333333,Head Teacher,Male,46,24,2006,1996,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,Don't know,Always on time,0,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,June,,,,,,,,,,2014,,,,,,,,,,No,Yes,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,No,No,No,No,,No,Yes,More than once a month,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,Yes,No,No,No,Yes,No,No,No,No,No,,6,223,Yes,20141029,1,20141028,0,20141027,0,20141023,2,20141022,2,Two or three times a month,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,Yes,No,No,,No supply,Yes,No,Yes,No,No,No,No,Yes,black board,Yes,This term or during the preceding vacation,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,,37.16666793823242,16.66666603088379
Round 1 Baseline,Jigawa,304,Head Teacher,Treatment,1131,3,.3333333333333333,Assistant Head Teacher,Male,45,24,,,No,No,Yes,Yes,No,No,No,No,No,No,No,No,,No,80300,Usually/Mostly on time,0,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,October,,,,,,,,,,2013,,,,,,,,,,No,Yes,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,Yes,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,No,No,No,No,,No,No,Less than once a month,No,No,No,No,No,No,Yes,No,No,Yes,No,,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,,Yes,No,Yes,No,Yes,No,No,No,No,No,,7,269,Yes,20141029,0,20141028,0,20141027,0,20141023,1,20141022,1,More than three times a month,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Yes,No,No,No,No,No,No,Yes,No,,No supply,Yes,No,No,No,No,No,Yes,Yes,additional classrooms even tem,Yes,The last term of the previous school year,Yes,"Yes, both audio and video",Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,,38.42856979370117,5.714285850524902
