surveywave,id_state,id_school,id_teacher,treatment,strata,weight_httall,fpc_school,htt01,htt04,htt09,htt10,htt11,htt12,htt13_01,htt13_02,htt13_03,htt13_04,htt13_05,htt13_06,htt13_07,htt13_08,htt13_09,htt13_10,htt13_11,htt13_othqual,htt13_oth,htt13_dkr,htt14,htt15,htt16,htt17_01,htt17_02,htt17_03,htt17_04,htt17_05,htt17_06,htt17_07,htt17_08,htt17_09,htt17_10,htt17_11,htt17_othrea,htt17_oth,htt18,htt19_01,htt19_02,htt19_03,htt19_04,htt19_05,htt19_06,htt19_07,htt19_08,htt19_09,htt19_10,htt19_11,htt19_othrea,htt19_oth,htt20,htt21a_01_month,htt21a_02_month,htt21a_03_month,htt21a_04_month,htt21a_05_month,htt21a_06_month,htt21a_07_month,htt21a_08_month,htt21a_09_month,htt21a_10_month,htt21a_01_year,htt21a_02_year,htt21a_03_year,htt21a_04_year,htt21a_05_year,htt21a_06_year,htt21a_07_year,htt21a_08_year,htt21a_09_year,htt21a_10_year,htt21b_01_01,htt21b_01_02,htt21b_01_03,htt21b_01_04,htt21b_01_05,htt21b_01_06,htt21b_01_07,htt21b_01_othttop,htt21b_01_oth,htt21b_01_dkr,htt21b_02_01,htt21b_02_02,htt21b_02_03,htt21b_02_04,htt21b_02_05,htt21b_02_06,htt21b_02_07,htt21b_02_othttop,htt21b_02_oth,htt21b_02_dkr,htt21b_03_01,htt21b_03_02,htt21b_03_03,htt21b_03_04,htt21b_03_05,htt21b_03_06,htt21b_03_07,htt21b_03_othttop,htt21b_03_oth,htt21b_03_dkr,htt21b_04_01,htt21b_04_02,htt21b_04_03,htt21b_04_04,htt21b_04_05,htt21b_04_06,htt21b_04_07,htt21b_04_othttop,htt21b_04_oth,htt21b_04_dkr,htt21b_05_01,htt21b_05_02,htt21b_05_03,htt21b_05_04,htt21b_05_05,htt21b_05_06,htt21b_05_07,htt21b_05_othttop,htt21b_05_oth,htt21b_05_dkr,htt21b_06_01,htt21b_06_02,htt21b_06_03,htt21b_06_04,htt21b_06_05,htt21b_06_06,htt21b_06_07,htt21b_06_othttop,htt21b_06_oth,htt21b_06_dkr,htt21b_07_01,htt21b_07_02,htt21b_07_03,htt21b_07_04,htt21b_07_05,htt21b_07_06,htt21b_07_07,htt21b_07_othttop,htt21b_07_oth,htt21b_07_dkr,htt21b_08_01,htt21b_08_02,htt21b_08_03,htt21b_08_04,htt21b_08_05,htt21b_08_06,htt21b_08_07,htt21b_08_othttop,htt21b_08_oth,htt21b_08_dkr,htt21b_09_01,htt21b_09_02,htt21b_09_03,htt21b_09_04,htt21b_09_05,htt21b_09_06,htt21b_09_07,htt21b_09_othttop,htt21b_09_oth,htt21b_09_dkr,htt21b_10_01,htt21b_10_02,htt21b_10_03,htt21b_10_04,htt21b_10_05,htt21b_10_06,htt21b_10_07,htt21b_10_othttop,htt21b_10_oth,htt21b_10_dkr,htt21c_01_01,htt21c_01_02,htt21c_01_03,htt21c_01_04,htt21c_01_05,htt21c_01_06,htt21c_01_07,htt21c_01_08,htt21c_01_09,htt21c_01_10,htt21c_01_11,htt21c_01_12,htt21c_01_othorg,htt21c_01_oth,htt21c_01_dkr,htt21c_02_01,htt21c_02_02,htt21c_02_03,htt21c_02_04,htt21c_02_05,htt21c_02_06,htt21c_02_07,htt21c_02_08,htt21c_02_09,htt21c_02_10,htt21c_02_11,htt21c_02_12,htt21c_02_othorg,htt21c_02_oth,htt21c_02_dkr,htt21c_03_01,htt21c_03_02,htt21c_03_03,htt21c_03_04,htt21c_03_05,htt21c_03_06,htt21c_03_07,htt21c_03_08,htt21c_03_09,htt21c_03_10,htt21c_03_11,htt21c_03_12,htt21c_03_othorg,htt21c_03_oth,htt21c_03_dkr,htt21c_04_01,htt21c_04_02,htt21c_04_03,htt21c_04_04,htt21c_04_05,htt21c_04_06,htt21c_04_07,htt21c_04_08,htt21c_04_09,htt21c_04_10,htt21c_04_othorg,htt21c_04_oth,htt21c_04_dkr,htt21c_05_01,htt21c_05_02,htt21c_05_03,htt21c_05_04,htt21c_05_05,htt21c_05_06,htt21c_05_07,htt21c_05_08,htt21c_05_09,htt21c_05_10,htt21c_05_othorg,htt21c_05_oth,htt21c_05_dkr,htt21c_06_01,htt21c_06_02,htt21c_06_03,htt21c_06_04,htt21c_06_05,htt21c_06_06,htt21c_06_07,htt21c_06_08,htt21c_06_09,htt21c_06_10,htt21c_06_othorg,htt21c_06_oth,htt21c_06_dkr,htt21c_07_01,htt21c_07_02,htt21c_07_03,htt21c_07_04,htt21c_07_05,htt21c_07_06,htt21c_07_07,htt21c_07_08,htt21c_07_09,htt21c_07_10,htt21c_07_othorg,htt21c_07_oth,htt21c_07_dkr,htt21c_08_01,htt21c_08_02,htt21c_08_03,htt21c_08_04,htt21c_08_05,htt21c_08_06,htt21c_08_07,htt21c_08_08,htt21c_08_09,htt21c_08_10,htt21c_08_othorg,htt21c_08_oth,htt21c_08_dkr,htt21c_09_01,htt21c_09_02,htt21c_09_03,htt21c_09_04,htt21c_09_05,htt21c_09_06,htt21c_09_07,htt21c_09_08,htt21c_09_09,htt21c_09_10,htt21c_09_othorg,htt21c_09_oth,htt21c_09_dkr,htt21c_10_01,htt21c_10_02,htt21c_10_03,htt21c_10_04,htt21c_10_05,htt21c_10_06,htt21c_10_07,htt21c_10_08,htt21c_10_09,htt21c_10_10,htt21c_10_othorg,htt21c_10_oth,htt21c_10_dkr,htt21d_01,htt21d_01_oth,htt21d_02,htt21d_02_oth,htt21d_03,htt21d_03_oth,htt21d_04,htt21d_04_oth,htt21d_05,htt21d_05_oth,htt21d_06,htt21d_06_oth,htt21d_07,htt21d_07_oth,htt21d_08,htt21d_08_oth,htt21d_09,htt21d_09_oth,htt21d_10,htt21d_10_oth,htt21e_01,htt21e_02,htt21e_03,htt21e_04,htt21e_05,htt21e_06,htt21e_07,htt21e_08,htt21e_09,htt21e_10,htt36,htt37_01,htt37_02,htt37_03,htt37_04,htt37_05,htt37_06,htt38_01,htt38_02,htt38_03,htt38_04,htt38_05,htt38_06,htt38_07,htt38_08,htt38_09,htt38_10,htt38_11,htt38_12,htt38_13,htt38_14,htt38_15,htt38_othsub,htt38_oth,htt39,htt40,htt41,htt42,htt43,htt44,htt45,htt46,htt47,htt48,htt49,htt50,htt51,htt52,htt53,htt54,htt55,htt56,htt57,htt58,htt59,htt60,htt61,htt62,htt63,htt71,htt72,htt73_01,htt73_02,htt73_03,htt73_04,htt73_05,htt73_06,htt73_07,htt73_08,htt73_09,htt73_10,htt73_11,htt73_12,htt73_13,htt73_othuse,htt73_oth
Round 1 Baseline,Jigawa,55,2,Treatment,131,3,.3333333333333333,,Male,40,,2002,2002,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,42000,Usually/Mostly on time,0,,,,,,,,,,,,,,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,Don't know,,,,,,,,,,2013,,,,,,,,,,No,No,Yes,No,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,No,No,Yes,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University or college staff,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,,,No,No,No,No,,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Yes,"Yes, both audio and video",Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,
Round 1 Baseline,Jigawa,55,3,Treatment,131,3,.3333333333333333,,Male,34,,2009,2009,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,Don't know,Always on time,1,No,No,No,No,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,,,No,No,No,No,,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Yes,"Yes, both audio and video",Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,
Round 1 Baseline,Jigawa,55,4,Treatment,131,3,.3333333333333333,,Male,33,,2004,2004,No,Yes,No,No,Yes,No,No,No,No,No,No,No,,No,Refusal,Usually/Mostly on time,0,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,Don't know,July,,,,,,,,,2013,2014,,,,,,,,,Yes,No,No,No,,,,No,,No,No,Yes,No,No,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,No,No,No,No,Yes,No,No,Yes,No,,No,No,Yes,No,,Yes,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,,,5,2,,,,,,,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,,,No,Yes,No,No,,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Yes,"Yes, both audio and video",Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,
Round 1 Baseline,Jigawa,59,Head Teacher,Treatment,131,4,.3333333333333333,Assistant Head Teacher,Male,40,4,,,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,Don't know,Always on time,2,No,No,No,No,No,Yes,No,No,No,No,No,No,,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,,Yes,November,October,,,,,,,,,2012,2013,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,,,No,,No,No,Yes,No,No,No,No,No,No,No,No,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,LGEA,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,,,No,,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Yes,"Yes, both audio and video",Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,
Round 1 Baseline,Jigawa,59,3,Treatment,131,4,.3333333333333333,,Male,50,,2011,2002,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,Don't know,Always on time,1,No,No,No,No,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,,Yes,March,May,March,,,,,,,,2014,2013,2013,,,,,,,,No,No,Yes,No,,,,No,,No,No,No,Yes,No,,,,No,,No,No,Yes,No,No,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,3,3,3,,,,,,,,,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,,No,No,No,No,,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Disagree,Yes,"Yes, both audio and video",Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,
Round 1 Baseline,Jigawa,59,4,Treatment,131,4,.3333333333333333,,Male,37,,1998,1996,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,Don't know,Always on time,1,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,No,No,No,Yes,.Arabic,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Yes,"Yes, both audio and video",Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,
Round 1 Baseline,Jigawa,65,Head Teacher,Control,130,11,.1818181818181818,Head Teacher,Male,47,27,2010,1996,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,Don't know,Usually/Mostly on time,1,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,July,March,,,,,,,,,2014,2014,,,,,,,,,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,Yes,No,No,No,No,No,,,No,,No,No,Yes,No,No,Yes,No,No,No,No,No,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,No,,Strongly agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Yes,"Yes, both audio and video",Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,
Round 1 Baseline,Jigawa,65,2,Control,130,11,.1818181818181818,,Male,26,,2012,2012,No,Yes,No,No,Yes,No,No,No,No,No,No,No,,No,Don't know,Usually/Mostly on time,1,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,Don't know,July,,,,,,,,,2014,2013,,,,,,,,,No,Yes,No,No,,,,No,,No,No,Yes,No,No,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,,Yes,No,No,No,No,No,No,No,No,,No,No,Yes,No,,Yes,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,,,No,No,No,No,,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Yes,"Yes, both audio and video",Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,
Round 1 Baseline,Jigawa,69,Head Teacher,Control,130,5.5,.1818181818181818,Head Teacher,Male,55,33,2010,1981,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,Don't know,Always on time,0,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,Don't know,Don't know,,,,,,,,,2013,2013,,,,,,,,,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,,,No,,No,No,Yes,No,No,No,No,No,No,No,No,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Yes, audio",Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,
Round 1 Baseline,Jigawa,69,2,Control,130,5.5,.1818181818181818,,Male,34,,2010,2001,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,Don't know,Always on time,1,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,May,November,,,,,,,,,2014,2013,,,,,,,,,No,Yes,No,No,,,,No,,No,No,Yes,No,No,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,,,No,No,No,No,,Strongly agree,Strongly agree,Strongly disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Yes,"Yes, both audio and video",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,
Round 1 Baseline,Jigawa,69,3,Control,130,5.5,.1818181818181818,,Male,37,,2009,2007,No,Yes,No,No,Yes,No,No,No,No,No,No,No,,No,Don't know,Always on time,1,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,June,November,,,,,,,,,2014,2013,,,,,,,,,No,No,No,No,,,,Yes,Leadership Training,No,No,Yes,No,No,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,,,No,No,No,No,,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Yes,"Yes, both audio and video",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
Round 1 Baseline,Jigawa,69,4,Control,130,5.5,.1818181818181818,,Male,26,,2013,2013,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,Don't know,Always on time,0,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,June,March,November,,,,,,,,2014,2014,2013,,,,,,,,Yes,No,No,No,,,,No,,No,Yes,No,No,No,,,,No,,No,Yes,No,No,No,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,5,3,5,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,,,No,No,No,No,,Agree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Yes,"Yes, both audio and video",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
Round 1 Baseline,Jigawa,75,Head Teacher,Treatment,141,3,.3333333333333333,Head Teacher,Male,48,27,2007,2004,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,74296,Usually/Mostly on time,0,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,Don't know,,,,,,,,,,2013,,,,,,,,,,No,No,No,No,No,No,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,Yes,No,No,No,No,No,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSIT/SSOs/SMOs/SIOs,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,No,,Agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Yes,"Yes, both audio and video",Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,
Round 1 Baseline,Jigawa,75,2,Treatment,141,3,.3333333333333333,,Male,29,,2013,2009,No,Yes,No,No,Yes,No,No,No,No,No,No,No,,No,Don't know,Always on time,0,,,,,,,,,,,,,,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,Don't know,,,,,,,,,,2013,,,,,,,,,,Yes,No,No,No,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LGEA,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,,,No,No,No,No,,Agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree,Strongly agree,Disagree,Yes,"Yes, both audio and video",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,
